time	CC	CCPT	CLK	PDP	PER	PT	TIM	VRI	clkm	clkp	pdpm	pdpp	perm	perp	prcpdp	prcper	prct	prcv	prpc	prvc	timm	timp	vrim	vrip
41.0.76.0	0.034774947750619005	0.469648544461551	3.031206007709223	4.426349187242026	4.879577426192389	6.081474806963966	4.879577426192386	4.498641332966965	0.221273902789651	0.003185	0.37541187079099203	0.003185	0.31298091441784504	0.003185	0.125479613719916	0.040284111017421007	0.040284111017421007	0.045859437308123	0.364469209124958	0.5660566477978151	0.31298091441784504	0.003185	0.363264980442259	0.003185
42.0.48.0	0.037308510121573005	0.47528650407774603	3.069619767466286	4.431630609976949	4.769979755127271	5.737136170081902	4.7699797551272685	4.364148454579746	0.224249117786103	0.003185	0.37136917396253205	0.003185	0.305618807143188	0.003185	0.11438285540155001	0.034927557181557004	0.034927557181557004	0.039845229929208005	0.370550128079335	0.558839510217298	0.305618807143188	0.003185	0.35150284119448205	0.003185
43.0.199999999999996.0	0.040961012889487	0.481707171385775	3.113608366510445	4.430818056706489	4.630836518341465	5.296548172169531	4.630836518341463	4.225297470642423	0.22756094953209402	0.003185	0.366745458284961	0.003185	0.29801796664538305	0.003185	0.104518465915202	0.030634957470336004	0.030634957470336004	0.03512163864223	0.37690005506988705	0.5512369528094331	0.29801796664538305	0.003185	0.339606639408151	0.003185
43.0.92.0	0.046090367045426	0.48871538830748606	3.162195326301008	4.423865463078001	4.4644510595173	4.775812824443686	4.464451059517301	4.084355635339707	0.23113379053373903	0.003185	0.361613076718991	0.003185	0.290286587310411	0.003185	0.09581390403993001	0.027279457168813002	0.027279457168813002	0.031536196598442	0.38341478763124703	0.543364007383579	0.290286587310411	0.003185	0.327735731808664	0.003185
44.0.64.0	0.053309586241828	0.49610685418822104	3.214540127802069	4.410826769140259	4.2730681984231325	4.19160235617522	4.2730681984231325	3.943301301507717	0.234897138293497	0.003185	0.356048995960903	0.003185	0.28252215047077	0.003185	0.08822311391671901	0.024777376867875	0.024777376867875	0.028994569375972	0.389998869797513	0.535326554820439	0.28252215047077	0.003185	0.31603092588998105	0.003185
45.0.36.0	0.06370319348269	0.50364766676201	3.269994434202633	4.391851591244857	4.058949544004043	3.560987699503025	4.058949544004043	3.803891742672514	0.23878549535621701	0.003185	0.35013566162815	0.003185	0.27481539468076505	0.003185	0.08173770123861801	0.023096227035589	0.023096227035589	0.027472110570588	0.39656369737725006	0.527223981883942	0.27481539468076505	0.003185	0.30462190989930404	0.003185
46.0.08.0	0.079319306627416	0.511022144233806	3.328215835071208	4.367183511441908	3.824564667969572	2.901620049801644	3.824564667969572	3.66775427799653	0.242737776354628	0.003185	0.343963668727552	0.003185	0.26725619047710303	0.003185	0.076410241097602	0.022276119726475002	0.022276119726475002	0.027044401264573	0.40302483025740904	0.5191529651591681	0.26725619047710303	0.003185	0.29363770763191904	0.003185
46.0.8.0	0.104415288737372	0.5176875520777551	3.38944325124939	4.337163974589321	3.573070638381171	2.232651094960785	3.573070638381171	3.5365207350027763	0.24669615725607902	0.003185	0.337637977372691	0.003185	0.25994338895677704	0.003185	0.0724070744374	0.022483015317527003	0.022483015317527003	0.027962832795121004	0.40929792156530903	0.511213313715702	0.25994338895677704	0.003185	0.283223738145203	0.003185
47.0.519999999999996.0	0.149056810588401	0.522414022687759	3.455266556997268	4.302248146343582	3.309634131318285	1.577695946097108	3.309634131318284	3.412058816538303	0.250604102173111	0.003185	0.33129215470252704	0.003185	0.253004190307879	0.003185	0.07014232024872401	0.02414940497255	0.02414940497255	0.030853699568117003	0.415291863548634	0.5035180766068701	0.253004190307879	0.003185	0.273574975777616	0.003185
48.0.239999999999995.0	0.24077023632577302	0.521726506103632	3.53106546660356	4.26304859506514	3.045554950605455	0.974449598032708	3.045554950605455	3.2969502680758582	0.25440284994767604	0.003185	0.32512358263557	0.003185	0.24663932903219601	0.003185	0.07066540246708	0.028388761723362	0.028388761723362	0.037302560500190006	0.42089559093966605	0.496213612286077	0.24663932903219601	0.003185	0.26501290764744	0.003185
