time	CIS	CISRNA	CISnRNA1	CISnRNA2	CISnRNA3	CISnRNA4	CISnRNA5	Epo	EpoRJAK2	EpoRJAK2_CIS	EpoRpJAK2	SHP1	SHP1Act	SOCS3	SOCS3RNA	SOCS3nRNA1	SOCS3nRNA2	SOCS3nRNA3	SOCS3nRNA4	SOCS3nRNA5	STAT5	npSTAT5	p12EpoRpJAK2	p1EpoRpJAK2	p2EpoRpJAK2	pSTAT5
165.0.	24.549078765649345	0.044049309925495	365.2795952329506	378.2722745947584	394.97009280103174	416.11837959184317	442.55685972487055	1.24997e-07	3.759574317799283	-4.3159318864700285e-32	0.12183298389114001	26.559138383975498	0.16596161602446102	9.163270738148375	0.052767693670582004	0.000402659880783	0.00040388892235600004	0.00040516422668500005	0.00040648700195400003	0.000407858483653	69.43281656136034	4.102953776931951	0.020312387637896	0.014968788447142	0.059531522224536004	7.499902716996154
168.0.	24.406694153452868	0.042954889543110004	361.1965359206903	372.91053363464044	388.05861772855116	407.342885371744	431.5616073277573	1.24997e-07	3.759337542197618	-5.43767487788423e-32	0.121904646478087	26.558862854998306	0.16623714500165102	9.090498818122862	0.052348628568527004	0.000399096396639	0.00040018720596700006	0.00040132063542900004	0.00040249781048700003	0.00040371988219200004	69.48717368743229	4.067912414492502	0.020365233965689	0.014988513981811	0.059624063376792005	7.469636527601341
171.0.	24.25657219301015	0.041953147489925006	357.5508327298386	368.0829045425642	381.7952129894841	399.3479243766383	421.4974665612754	1.24997e-07	3.759097874420037	-6.660614420879846e-32	0.12197701308475001	26.558589318379596	0.166510681620356	9.018047554078114	0.051931410031395	0.00039594569758000004	0.00039690925406300005	0.00039791203856900004	0.00039895509908300004	0.000400039507554	69.53379701408033	4.036979883368986	0.020418878868730003	0.015008469579774001	0.059717764046707006	7.444279316100749
174.0.	24.099868957750154	0.041037744567466006	354.308307008428	363.7487749071903	376.13197940064947	392.0776913169482	412.3007490324141	1.24997e-07	3.758856773086643	-8.978404706314688e-32	0.12204965168777501	26.55831768321945	0.166782316780501	8.946074693028677	0.051516946459405	0.00039317469865800004	0.00039402122337000006	0.000394903818506	0.000395823459531	0.00039678114433600004	69.57334120975752	4.009825655445816	0.020472988582873	0.015028534269900001	0.059812052372807005	7.423403652120732
177.0.	23.93764532529224	0.040202681761943006	351.437115674275	359.8702444221493	371.024101890274	385.4797534069259	403.91118415606036	1.24997e-07	3.758615537124216	-7.197185361325175e-32	0.12212217940766801	26.558047888092293	0.167052111907657	8.874720936838148	0.051106048096654005	0.00039075260969400005	0.0003914916141	0.00039226375076100003	0.00039306992728800003	0.000393911072277	69.60641445648625	3.9861421657828133	0.020527264250449002	0.015048600439324001	0.059906418778341006	7.406612804535336
180.0.	23.770872991508085	0.039442296210346006	348.90760451650164	356.41196429836526	366.4296879352646	379.50491823846704	396.2718786133319	1.24997e-07	3.758375319090282	-5.907710978906955e-32	0.122194258316832	26.55777989730159	0.167320102698359	8.804111271006066	0.050699434683064	0.00038865078710600005	0.00038929111892800004	0.00038996185006600004	0.00039066382467600004	0.000391397906533	69.63358152464279	3.9656433271654192	0.020581439081203003	0.015068572715127002	0.060000410796556006	7.393538687928264
183.0.	23.600440272088726	0.038751253749360004	346.6921693256435	353.3409830492175	362.30960752716095	374.1070915118237	389.32924148126295	1.24997e-07	3.758137137394111	-2.6406614594406894e-32	0.12226559157710301	26.557513697478434	0.16758630252150902	8.73435620234072	0.050297742581642005	0.00038684259457800004	0.00038739248091300004	0.000387970225514	0.00038857661321000005	0.00038921244716800006	69.6553666468073	3.9480631340058183	0.020635275765534002	0.015088366937083	0.060093628326169005	7.38383994856102
186.0.	23.427157665350755	0.038124538982643	344.765124759505	350.62659914684065	358.627336474954	369.2431290932634	383.0328844323362	1.24997e-07	3.757901887527913	-2.367331463713259e-32	0.12233591987924201	26.55724929449501	0.167850705504933	8.66555291117701	0.04990153141364	0.00038530327223	0.00038577036003	0.00038626294441100004	0.00038678175474700003	0.00038732753755500005	69.672256203356	3.93315435180818	0.020688564108406002	0.015107909212578001	0.060185719271860005	7.377200179773205
189.0.	23.251763159666247	0.037557443608985004	343.10258076447	348.2402208222693	355.3488043471377	364.8726868328754	377.3355044635223	1.24997e-07	3.757670352406441	-1.4960263794376642e-32	0.12240501815954301	26.556986710666568	0.16811328933336803	8.59778632353909	0.049511290232702	0.00038400981388300005	0.000384401207922	0.00038481590447800003	0.000385254581101	0.00038571793136500004	69.68470123191484	3.920687288151223	0.020741118857350003	0.015127135045874	0.06027637553079	7.373326257478523
192.0.	23.074927276431662	0.037045553596593006	341.6823263095651	346.15523311011094	352.4422479587265	360.95807074727406	372.1927550340307	1.24997e-07	3.7574432119004353	-1.1846753585277281e-35	0.12247269257111501	26.556725982218243	0.168374017781689	8.531130108377516	0.049127443267555006	0.00038294085202100005	0.00038326315047900004	0.000383606714001	0.000383972171723	0.00038436016774700003	69.6931197721932	3.9104486410083883	0.020792777702174	0.015145988534894001	0.060365329291381005	7.371946787110856
