	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
12	4.122398918006321e-11	5e-06	9.711887178747858e-10	3.726154669024599e-08	4.5057347981888274e-23	6.778741005863531e-07	8.708095020874186e-12	1e-05	1e-05
13	4.122482398689494e-11	5e-06	9.71208201591294e-10	3.8834381492620374e-08	4.511740007380585e-23	7.081270472043919e-07	9.07511245236141e-12	1e-05	1e-05
14	4.12227029831779e-11	5e-06	9.711587434589905e-10	4.0206582127327286e-08	4.49528569743322e-23	7.340382628219405e-07	9.395235669045033e-12	1e-05	1e-05
15	4.1228087097204705e-11	5e-06	9.712841780176248e-10	4.139785755454057e-08	4.540124731069054e-23	7.572668445448357e-07	9.673344997916427e-12	1e-05	1e-05
16	4.1214415550717686e-11	5e-06	9.709659571311377e-10	4.242763143201637e-08	4.41851250100003e-23	7.764164247636011e-07	9.913257701395539e-12	1e-05	1e-05
17	4.1249127314479664e-11	5e-06	9.717731833730078e-10	4.3314490344890955e-08	4.746990471003908e-23	7.942119132125899e-07	1.012112589395377e-11	1e-05	1e-05
18	4.116099184203395e-11	5e-06	9.697254327699872e-10	4.407581305529856e-08	3.8630332169550676e-23	8.077604103119571e-07	1.0296395591402874e-11	1e-05	1e-05
19	4.1384771049608184e-11	5e-06	9.749200519703254e-10	4.4727566416501296e-08	6.234326192728053e-23	8.217215143190848e-07	1.0454495039863416e-11	1e-05	1e-05
20	4.134179312925336e-11	5e-06	9.739274432892313e-10	4.528367291822413e-08	5.96649166057548e-23	8.343417332201485e-07	1.0583096391017784e-11	1e-05	1e-05
21	4.165337765978214e-11	5e-06	9.811437461945963e-10	4.575775082069026e-08	9.143672173433591e-23	8.426858941671981e-07	1.0702101890260477e-11	1e-05	1e-05
22	4.035543379234837e-11	5e-06	9.510802937072643e-10	4.616153758373689e-08	-5.1864152584698236e-23	8.479990685213267e-07	1.076138066259106e-11	1e-05	1e-05
23	4.34326013619667e-11	5e-06	1.0222765425468597e-09	4.6504560977276813e-08	3.046453547353011e-22	8.560297613212674e-07	1.0924251994928514e-11	1e-05	1e-05
24	4.122431403495635e-11	5e-06	9.712957488843129e-10	4.679560059578507e-08	4.507808985110112e-23	8.633126794873918e-07	1.0932716389747808e-11	1e-05	1e-05
25	4.122413879280558e-11	5e-06	9.71092862357632e-10	4.704274148330056e-08	1.135308129523106e-22	8.646075384740938e-07	1.0990380516961439e-11	1e-05	1e-05
26	4.1224305816080144e-11	5e-06	9.712953418778692e-10	4.725144801958423e-08	-2.2843957602150423e-23	8.697075339722965e-07	1.1039080279640019e-11	1e-05	1e-05
27	4.122413936727486e-11	5e-06	9.710931118677385e-10	4.7428261171707336e-08	1.1918793347603208e-22	8.727775836078914e-07	1.108033520788941e-11	1e-05	1e-05
28	4.1224305676009864e-11	5e-06	9.712951007381882e-10	4.757767583781245e-08	-2.2670631271396343e-23	8.757620455861855e-07	1.1115200147890886e-11	1e-05	1e-05
29	4.122413935271596e-11	5e-06	9.710933490887324e-10	4.7703997153431585e-08	1.189994809822971e-22	8.781636818607426e-07	1.1144673637992777e-11	1e-05	1e-05
30	4.1224305571919575e-11	5e-06	9.712948610082602e-10	4.781068463500114e-08	-2.2497734656009236e-23	8.802305243248426e-07	1.116956889916255e-11	1e-05	1e-05
