time	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	S2_c	S2_n	S4_c	S4_n	S7	Smad7mRNA	Smad7mRNA1	TGFb	TGFb_In	TGFb_R1_endo	TGFb_R1_surface	TGFb_R2_endo	TGFb_R2_surface	pS2_c	pS2_n	pS2_pS2_S4_c	pS2_pS2_S4_n	pS2_pS2_pS2_c	pS2_pS2_pS2_n
102.0.	2.264294748857089	9.431437664587902	1.309114052631581	14.549426760293906	247.13032033472282	114.70954972228712	299.06801420958493	215.86095848131083	3.438097548440575	0.44159340001044506	2.831381576745564	98.800743322683	0.13087479643733202	16.291436158707764	9.336359374308277	7.78589236900414	0.25989905234199	0.303124358801582	0.46688862024894406	75.36038352686683	125.65080180618244	3.594961701467453	117.79913950427587
105.0.	2.241362790542757	9.346225108277535	1.297293364730577	14.74861173209011	248.2989333756339	115.06170995719947	299.73349436516247	215.61352281030358	3.5167397691876783	0.43950146937649703	2.809805599598344	98.75651162796807	0.13015354804533202	16.32372969553464	9.404666433359354	7.72084447431041	0.25877274649709303	0.302139217843971	0.46637126339449203	75.03551121818113	125.217021783406	3.556637588944271	117.96083567524212
108.0.	2.219020530955017	9.261755039906717	1.285569864750932	14.945476177387674	249.51172606890609	115.43226272737061	300.37425883624417	215.37949405511608	3.595977552792953	0.43707349982215904	2.787228488569981	98.71171705612092	0.12943682815770202	16.354961328817357	9.472001331359607	7.656279747473332	0.257689703596918	0.301194562578505	0.465851414338717	74.72423628595713	124.79207146087762	3.520328555437664	118.05798559313335
111.0.	2.197246351223683	9.178105774903816	1.273955287367188	15.139881852138618	250.76356419108834	115.819141610869	300.99248435075503	215.15764416458362	3.675744368878209	0.43436030517954904	2.763838913963648	98.66636649070766	0.128725503769371	16.38528968987094	9.538407924853843	7.592275714685052	0.256647512010385	0.30028674262187105	0.46532949955839603	74.4253303760998	124.37528214210299	3.485840060853466	118.09713595649677
114.0.	2.176020817097439	9.095342211382325	1.262459390133679	15.33171582653357	252.04982896017773	116.22048584062662	301.5901459889996	214.94685773173023	3.75597979362304	0.43140655854380605	2.739800289742657	98.6204671619376	0.12802030083948102	16.41484550583393	9.6039207760792	7.528897641363553	0.255644046619791	0.29941246009979805	0.464805895664579	74.13768230460217	123.96604144146237	3.452998362869784	118.08419024731573
117.0.	2.155326263602103	9.01351765267188	1.251090220842495	15.5208873074573	253.36636167924848	116.63461875344368	302.16903384040984	214.74612265050155	3.836628862952399	0.42825143882730504	2.715253899754342	98.57402658050688	0.127321823650446	16.443735848483882	9.66856684322712	7.466200052195812	0.254677420630227	0.298568737458749	0.464280936852253	73.86028759598342	123.56379023710808	3.421648259903068	118.02447288122839
120.0.	2.13514645978196	8.93267539714764	1.239854350962686	15.707324807835898	254.7094146912989	117.06002860467434	302.7307686130575	214.55452136500193	3.917641487710423	0.42492922703142505	2.690321663220344	98.52705247981847	0.126630571642692	16.47204781608205	9.73236691661771	7.404228086509269	0.253745945646697	0.297752887954469	0.46375492119926703	73.59223885385042	123.16801946157867	3.391651080394561	117.92278691328494
123.0.	2.115466339222177	8.852850122484439	1.228757079065617	15.890973634079911	256.0756078709301	117.49535147281901	303.2768161890651	214.37122271589192	3.998971926231856	0.421469851708381	2.665108577499482	98.4795527656518	0.125946954028783	16.499851712602506	9.795336833848184	7.343018701958604	0.25284809867018604	0.29696248864663805	0.46322811599676006	73.33271691736851	122.77826683163724	3.362882893214568	117.78346594673239
126.0.	2.096271784451268	8.774069088878628	1.217802607781877	16.0717936629307	257.4618899844815	117.93935601369049	303.8085011417556	214.19547437558612	4.080578309834685	0.417899384651915	2.639704872752389	98.43153547243695	0.12527130245974202	16.527203783603856	9.857488503379177	7.282601739782023	0.25198249487219804	0.29619535572594	0.462700762262357	73.08098275475136	122.39411359179623	3.335232915480533	117.61042082902395
129.0.	2.07754945533396	8.696353183297855	1.206994197485747	16.24975737990469	258.8655043395807	118.390929854034	304.327019246177	214.0265958545334	4.162422216927017	0.414240488889252	2.6141879099184973	98.38300872536536	0.124603881987284	16.55414856273393	9.918830762677569	7.223000864672423	0.251147865184845	0.295449522001973	0.462173078562269	72.83637004415243	122.0151813252039	3.308602096019088	117.40718166110577
132.0.	2.059286653250715	8.61971782447778	1.196334299571107	16.42484815292333	260.28395822075726	118.8490674403753	304.8334490252276	213.8639720544869	4.244468291626943	0.410512821691401	2.588623850389674	98.3339807076456	0.12394490053861201	16.580720877638026	9.979370093961757	7.164234391785215	0.25034303789481405	0.294723216385752	0.46164526424807406	72.59827839289945	121.64112886965516	3.282901854780632	117.17693559309775
135.0.	2.041471214272802	8.544173746211003	1.185824671872209	16.597058716413233	261.71499567223725	119.31285918116984	305.3287623802826	213.7070473406272	4.326683903021045	0.40673339568272804	2.563069122948792	98.28445963228278	0.12329451709561001	16.606947559012614	10.039111217799945	7.106316012683678	0.249566923558373	0.294014845208025	0.46111750219704706	72.36616714742914	121.27164936434521	3.258052960570505	116.92256083156569
138.0.	2.024091425724639	8.469727674476127	1.175466478496154	16.766389843014476	263.1565732441843	119.78148173960865	305.8138343590092	213.5553201021119	4.409038841425142	0.40291690129426305	2.537571710942585	98.2344537178273	0.122652848747634	16.63284889180061	10.098057582288984	7.049255431189954	0.24881850266398603	0.293322975223238	0.46058996113098205	72.13954974825347	120.90646744375894	3.233984531403219	116.64665724037239
141.0.	2.007135961514676	8.3963829121383	1.165260376072096	16.932849181943574	264.6068383660226	120.25418935116735	306.28945211471864	213.4083377696292	4.491505048251793	0.399075993828628	2.512172280274843	98.18397116759833	0.12201997676670101	16.658439843113726	10.156211763277943	6.993058919225735	0.24809681556213903	0.29264631815823905	0.46006279757678503	71.91798858660499	120.5453365881198	3.210633143571941	116.35157387822487
144.0.	1.990593832442385	8.324139843311334	1.15520658818498	17.096450244948983	266.0641100513254	120.73030605454903	306.75632311174047	213.26569225846816	4.5740563763278885	0.395221548332011	2.486905166632179	98.13302015194495	0.12139595183559101	16.683731097416555	10.213575789082519	6.9377298018337115	0.24740095426070502	0.29198371667433504	0.459536157522385	71.7010903219237	120.18803663459971	3.187942037138761	116.03943378112135
147.0.	1.9744543483779091	8.252996367998287	1.145304969548042	17.257211522624395	267.52686167408376	121.20921873738783	307.21508263033314	213.12701580620913	4.656668377738637	0.39136288533316305	2.461799238380199	98.08160879315616	0.120780798542994	16.708729925822556	10.270151401345021	6.8832688796980595	0.246730055750834	0.29133413162074	0.45901017781339004	71.48850162194842	119.83437144962404	3.165860406992311	115.7121562665727
150.0.	1.9587070897841432	8.182948276312002	1.135555061277162	17.41515571557693	268.9937055868419	121.69037090921044	307.666300622929	212.9919771751809	4.739318116498691	0.38750797033464	2.436878649781261	98.02974515267883	0.12017451924537001	16.733440913026627	10.325940262111102	6.829674796648204	0.24608329658461803	0.290696630466631	0.45848498732903503	71.27990528978592	119.48416675978594	3.144342769896938	115.3714770083706
153.0.	1.9433418865269192	8.113989570407378	1.125956138459906	17.570309066567095	270.4633793778784	122.17325712392106	308.1104879712806	212.8602781911677	4.821984003565675	0.38366358974478804	2.412163497573197	97.97743722034126	0.119577097382319	16.75786656241718	10.380944115800194	6.7769443588467055	0.245459888473179	0.29007037680791103	0.457960707970251	71.07501674489728	119.13726813687323	3.123348399084852	115.01896610547114
156.0.	1.9283488023127222	8.046112741220638	1.116507251060938	17.72270078123386	271.9347335879207	122.65741798266676	308.54810219152944	212.73165059136963	4.904645651914578	0.37983550573254804	2.387670392498012	97.92469290531906	0.11898850032094901	16.782007797251385	10.435164913523533	6.7250728116355525	0.244859074713682	0.28945462085308804	0.45743745548781406	70.87358082742385	118.7935391311203	3.10284081893427	114.65604434596142
