time	cdhap	ce4p	cf6p	cfdp	cg1p	cg6p	cgap	cglcex	cpep	cpg	cpg2	cpg3	cpgp	cpyr	crib5p	cribu5p	csed7p	cxyl5p
13.0.600000000000001.0	0.309679068524133	0.15876101463799402	0.9692442386499631	0.8911497694687781	0.8425143354618021	5.646597049303201	0.351000215716577	1.8342253941193092	3.46174475439009	1.101781007326944	0.525555516730771	2.8390458686685403	0.003211152862916	4.13060548569974	0.594646452301347	0.159372404469991	0.42654011531836505	0.214814649546183
14.0.	0.31650075846750503	0.161303903385004	0.9705349167842181	0.929779604912607	0.846261379600687	5.654397395939252	0.359185445820346	1.830271287601248	3.48004489254068	1.107812932161663	0.528474082674759	2.8552843371954113	0.0032733539714350003	4.128849105548089	0.599633973094288	0.16057926328159902	0.42398774204737305	0.216607195412747
14.0.4.0	0.32345550718091703	0.163838823542504	0.971438889071751	0.9700558225646091	0.8497824893238951	5.65997134857597	0.367461881883662	1.826323779559144	3.493058082716368	1.113686338168838	0.530621479851768	2.867470430969528	0.00333262375615	4.127096682038044	0.6045285163153971	0.161767610847665	0.421303744554176	0.218342973912445
14.0.8.0	0.330553448125603	0.16636102313105902	0.9719014463287291	1.012082094186475	0.853066666899697	5.663006614937946	0.375823614105436	1.822383442887377	3.499916344731291	1.11939832912564	0.531871282356406	2.874941108944498	0.0033880199097470003	4.125311144384836	0.6093137725190391	0.162932414202087	0.41846719701324303	0.22001106128313003
15.0.200000000000001.0	0.33780812742196104	0.168865110553267	0.9718561201732661	1.055986197023586	0.8561011719809021	5.663123919097335	0.38426455530075204	1.81845098557304	3.499602820135791	1.124943750513839	0.5320751229739761	2.8769175113975063	0.003438426325555	4.123455788539708	0.613969627328608	0.164067042796382	0.41545163760680603	0.22159831309108502
15.0.600000000000001.0	0.34523691335636103	0.17134471212346603	0.9712223385110941	1.101924235532088	0.858871157909416	5.659863674069808	0.39277773159192203	1.814527278479325	3.490926214600821	1.130314671684725	0.531058793323542	2.8724839687736092	0.003482518387095	4.121492479605039	0.618471043370259	0.16516285143578602	0.41222442013422406	0.22308876622259202
16.0.	0.35286145932911	0.173792000036278	0.9699024516472321	1.150085352634118	0.861359231467355	5.652669040540922	0.40135422925998304	1.810613395879888	3.472491901994049	1.135499784359199	0.528617767949865	2.860563712380023	0.0035187220895760004	4.119379498726124	0.62278670573896	0.166208702908924	0.40874591539592203	0.224462875219078
16.0.400000000000002.0	0.36070817527894	0.176197027267325	0.967777981485135	1.200696573261142	0.8635449170806241	5.640864509041355	0.40998158455284306	1.806710672758487	3.442670425738057	1.140483714425062	0.5245122114727161	2.839891442247866	0.0035451666474080002	4.117068869518193	0.6268773379797431	0.167190399035095	0.404968569442247	0.225696516902913
16.0.8.0	0.36880860995065	0.17854677390251802	0.964704944422844	1.254026935713371	0.865404004336578	5.623629111975108	0.41864127623263403	1.802820784638937	3.3995656591352033	1.145246236478035	0.5184617242270331	2.808983848481758	0.0035596313123410005	4.114502929541305	0.6306935502283011	0.16808997171537401	0.400835850616142	0.22675967424585602
17.0.2.0	0.3771995384731	0.18082375967774603	0.9605081488734961	1.310389061169704	0.8669077582740851	5.599963614716513	0.427304772560045	1.798945857919818	3.340988029060804	1.149761369107704	0.510140501182731	2.766111245439165	0.0035594896481600004	4.111609829078129	0.63417301973835	0.16888476553878	0.396281176176603	0.22761468470935
